Volume_Class 0 values,Estimateddensity_Class 0 values,Minimal_Class 0 values,Maximal_Class 0 values,Positivesurfacearea_Class 0 values,Negativesurfacearea_Class 0 values,Overallaveragevalue_Class 0 values,Positiveaveragevalue_Class 0 values,Negativeaveragevalue_Class 0 values,Overallvariance_Class 0 values,Positivevariance_Class 0 values,Negativevariance_Class 0 values,Balanceofcharges_Class 0 values,Product_Class 0 values,Molecularpolarityindex_Class 0 values,Nonpolarsurfacearea_Class 0 values,Polarsurfacearea_Class 0 values,Volume_Class 1 values,Estimateddensity_Class 1 values,Minimal_Class 1 values,Maximal_Class 1 values,Positivesurfacearea_Class 1 values,Negativesurfacearea_Class 1 values,Overallaveragevalue_Class 1 values,Positiveaveragevalue_Class 1 values,Negativeaveragevalue_Class 1 values,Overallvariance_Class 1 values,Positivevariance_Class 1 values,Negativevariance_Class 1 values,Balanceofcharges_Class 1 values,Product_Class 1 values,Molecularpolarityindex_Class 1 values,Nonpolarsurfacearea_Class 1 values,Polarsurfacearea_Class 1 values
2148.65093,1.8682,-47.77566,74.29202,572.95605,512.94974,0.00050713,0.02505991,-0.0269179,0.0008485,0.00049589,0.00035261,0.24287188,0.00020608,0.70579715,114.02,190.06,3055.62859,1.6935,-45.83724,99.87146,744.7689,764.66584,0.00476279,0.02815668,-0.01802238,0.00112127,0.00092917,0.0001921,0.14197219,0.00015919,0.62648058,203.44,219.25
4447.20062,1.5586,-93.9451,76.95419,1023.34822,1048.92579,0.00071556,0.04037352,-0.03797535,0.00162238,0.000606,0.00101638,0.23400373,0.00037964,1.06558777,128.28,452.02,2620.25462,1.7437,-49.08371,58.03525,630.83843,608.779,0.00347485,0.0239025,-0.01769301,0.00062604,0.00033614,0.0002899,0.24863581,0.00015565,0.56743907,171.96,175.16
1826.24633,1.8357,-54.09298,64.00614,653.5626,315.80431,0.00642479,0.02410998,-0.03017504,0.00083901,0.00034177,0.00049724,0.24141614,0.00020255,0.70983293,100.71,170.74,2788.63325,1.5325,-52.50959,54.5784,907.39394,471.4089,0.00686366,0.01961665,-0.017684,0.00057882,0.00025676,0.00032206,0.24681789,0.00014286,0.51581584,231.41,154.69
3380.67617,1.5594,-50.81256,34.14561,946.15756,627.31351,0.00582933,0.02209493,-0.01870359,0.0004654,0.00015764,0.00030776,0.22398845,0.00010424,0.56444214,192.44,248.18,2810.1938,1.6004,-51.14972,56.63218,779.21291,594.30325,0.00571743,0.02237571,-0.01612386,0.00052235,0.00027485,0.0002475,0.2493145,0.00013023,0.53526457,203.47,181.16
2777.39885,1.6797,-44.46739,42.63128,739.38857,634.62744,0.00258026,0.02417559,-0.02257993,0.00047797,0.00020807,0.0002699,0.24581673,0.00011749,0.63779654,141.66,243.11,2549.09513,1.6631,-52.70486,68.39307,662.09105,558.62896,0.00261418,0.02905211,-0.02872025,0.00068851,0.00036859,0.00031992,0.2487508,0.00017127,0.78641564,83.5,258.34
3025.77886,1.79,-60.31632,73.62634,883.25794,560.4372,0.00937975,0.03737703,-0.03474441,0.00091182,0.00049292,0.0004189,0.24835257,0.00022645,0.98927148,73.79,330.48,3126.96194,1.7122,-47.87121,97.18102,732.89553,820.70259,0.00306596,0.03024647,-0.02120649,0.00105949,0.00080787,0.00025161,0.18108694,0.00019186,0.6931016,172.07,262.99
3403.89996,1.6213,-48.99189,34.68874,993.54341,582.12495,0.00536293,0.02070297,-0.02081873,0.00047669,0.00013139,0.0003453,0.19965859,9.518e-05,0.56452031,191.47,249.76,3643.31081,1.6376,-50.77688,36.13193,898.39104,724.76317,0.00054641,0.01858928,-0.0218189,0.00051252,0.00010234,0.00041018,0.15981176,8.191e-05,0.54508098,205.22,249.31
3242.70276,1.5807,-53.07978,34.87991,948.71466,601.68213,0.00715089,0.02519929,-0.02130728,0.00063527,0.00023626,0.00039901,0.23359129,0.00014839,0.64460686,183.2,250.96,4307.49535,1.5052,-43.41503,31.04589,1108.16908,856.69029,0.00475293,0.02177848,-0.01727042,0.00026571,0.00013327,0.00013244,0.24999753,6.643e-05,0.53913746,218.26,331.96
2111.97266,1.9135,-46.02698,76.55539,509.14849,549.04102,0.0010465,0.02834484,-0.02426838,0.00089698,0.00059042,0.00030656,0.22496197,0.00020179,0.71374837,114.73,181.6,2977.21698,1.6313,-44.86588,77.24178,748.26513,688.183,0.00510547,0.03186902,-0.02399467,0.00080758,0.00050665,0.00030093,0.23377846,0.00018879,0.76454527,128.27,273.98
2157.27329,1.7102,-57.15366,66.09265,513.83447,553.40353,-0.00083457,0.02279991,-0.02277914,0.00090539,0.00040399,0.0005014,0.24710628,0.00022373,0.62012403,148.31,150.55,1966.57459,1.8416,-55.50982,94.43279,473.49131,515.78519,0.00104895,0.04464411,-0.03897144,0.00129972,0.00087622,0.0004235,0.2196688,0.00028551,1.13434776,40.94,236.08
2254.74107,1.8305,-49.9033,69.79024,530.85205,593.69755,-0.00119666,0.02377163,-0.02352194,0.00080192,0.00042748,0.00037444,0.248906,0.0001996,0.64327176,146.71,168.2,1816.77291,1.9381,-40.55533,75.91831,427.4343,530.99918,0.00064398,0.02508124,-0.01902708,0.00079919,0.00059857,0.00020061,0.18801014,0.00015025,0.59122342,135.07,133.32
3302.43936,1.698,-63.04833,59.69625,913.4417,741.08082,0.00288136,0.0307567,-0.03147723,0.00114019,0.0004151,0.00072509,0.23152021,0.00026398,0.84571445,156.94,306.37,2119.5131,1.8199,-54.38198,39.42064,632.274,427.18594,0.007043,0.02725373,-0.02287071,0.00068055,0.00022679,0.00045376,0.22219214,0.00015121,0.69352159,100.26,196.42
2123.28152,1.7797,-47.17731,54.09513,574.87896,523.02411,0.00663139,0.03284825,-0.02218471,0.00082093,0.00048778,0.00033315,0.24113113,0.00019795,0.75561406,118.98,188.47,2489.99777,1.5856,-40.4423,31.53161,732.47195,478.80765,0.00500905,0.01845159,-0.01555512,0.00024605,0.00011656,0.00012949,0.24931022,6.134e-05,0.47093769,162.44,176.76
3031.18095,1.7035,-52.91716,48.7712,805.02597,651.97153,0.00429174,0.02483205,-0.02107053,0.00059434,0.00030112,0.00029322,0.24995588,0.00014856,0.62991243,164.23,243.77,4361.70494,1.5815,-56.65184,51.69662,914.97848,1085.32606,0.00033138,0.03051272,-0.02511284,0.00083244,0.00044252,0.00038992,0.24900176,0.00020728,0.75056759,204.85,355.3
2643.20124,1.7269,-73.67917,65.14329,681.64648,633.84944,-0.00497157,0.01885232,-0.03059197,0.00130584,0.00030569,0.00100016,0.17929292,0.00023413,0.66692042,195.48,172.9,3121.56356,1.7476,-32.19142,41.27482,804.77004,759.74326,0.00235488,0.01781199,-0.01401831,0.00030953,0.0001837,0.00012583,0.24125884,7.468e-05,0.43455876,273.66,164.45
2876.19174,1.7233,-81.69342,101.48624,780.14299,657.57512,0.00339754,0.03055725,-0.02882458,0.00174987,0.00092903,0.00082083,0.2490441,0.00043579,0.80994053,165.04,237.56,2186.02448,1.9131,-68.23966,52.00214,673.50108,418.48332,0.00730106,0.03107092,-0.03095381,0.00119707,0.00036423,0.00083284,0.21168945,0.00025341,0.84426156,102.51,203.28
2451.59065,1.8157,-56.9317,75.96438,618.96633,637.14796,0.002612,0.02913803,-0.02315708,0.00083884,0.00049731,0.00034153,0.24137816,0.00020248,0.71033334,120.34,231.41,2865.53719,1.7453,-46.36842,88.69416,562.93583,885.63739,0.00097437,0.03224114,-0.01889966,0.001155,0.00096531,0.00018969,0.13726259,0.00015854,0.65536835,174.16,231.48
2488.6526,1.7842,-59.23617,77.42637,867.83537,389.06382,0.01077491,0.0321134,-0.03682216,0.00120619,0.00053743,0.00066875,0.24703668,0.00029797,0.91351245,96.62,255.35,2363.75769,1.7745,-52.7718,45.25774,552.60009,611.32452,0.00121216,0.03524494,-0.0295514,0.00088186,0.00034716,0.0005347,0.23869445,0.00021049,0.87769054,91.58,234.35
2427.31709,1.7002,-49.35682,65.86592,628.11814,577.84578,-0.00237554,0.0202755,-0.02699722,0.00063954,0.00029395,0.00034559,0.24837002,0.00015884,0.63936563,128.7,209.0,3136.81476,1.5055,-53.4878,63.04123,1044.09699,459.76417,0.00762179,0.01919568,-0.01866182,0.00066203,0.00029115,0.00037088,0.24637315,0.00016311,0.51789988,262.17,158.95
2089.26673,1.8515,-44.1325,77.61392,464.27268,606.83,0.00265006,0.03155095,-0.01946139,0.00083786,0.00063849,0.00019937,0.18132816,0.00015193,0.67216605,119.36,180.58,3334.023,1.5744,-65.54826,94.66589,1027.72918,516.06189,0.00725631,0.03013915,-0.03831452,0.00112521,0.00058533,0.00053988,0.24959196,0.00028084,0.89449344,122.97,309.33
1949.18106,1.8696,-62.28257,37.18313,491.27695,444.37524,-0.00135328,0.02465079,-0.03010195,0.00075062,0.00015792,0.0005927,0.16612312,0.0001247,0.74123115,77.89,184.12,2634.89508,1.7109,-54.43585,43.13301,622.01611,703.65681,-0.00058715,0.02417885,-0.0224797,0.00052833,0.00024527,0.00028306,0.24872117,0.00013141,0.63339809,148.23,222.99
3382.05891,1.5588,-52.30334,33.96774,923.53588,651.80688,0.00518519,0.02217923,-0.01889343,0.00049357,0.00016445,0.00032912,0.2221742,0.00010966,0.56653321,195.48,245.66,2111.71374,1.7524,-48.75911,79.07224,477.58209,583.41401,0.00068119,0.02636332,-0.02034217,0.00097569,0.0006526,0.00032309,0.22148526,0.0002161,0.62728891,144.37,152.74
1812.09815,1.8686,-72.75941,74.56009,459.44602,468.15086,-0.00033479,0.02298313,-0.02321914,0.00124778,0.00052873,0.00071905,0.24418405,0.00030469,0.62864406,143.15,116.61,2495.09636,1.9633,-44.55713,74.34095,794.73268,439.61672,0.00769192,0.02452823,-0.02274452,0.00092349,0.00049972,0.00042377,0.2483091,0.00022931,0.65016047,170.28,175.37
2152.99431,1.7136,-44.99063,77.22529,557.45319,493.03714,0.0036602,0.02217696,-0.0172758,0.00096629,0.00059412,0.00037217,0.2368098,0.00022883,0.54087111,179.18,114.99,2856.11809,1.7746,-52.17996,76.52735,741.54818,658.78544,0.00240817,0.02915033,-0.02769359,0.00070738,0.00043229,0.00027509,0.23765458,0.00016811,0.77457236,107.47,284.66
3635.82602,1.7335,-56.7969,79.61997,967.80709,821.73143,-0.00049478,0.0265102,-0.03230031,0.00114172,0.00044699,0.00069473,0.23822859,0.00027199,0.79372708,180.68,320.44,3253.97279,1.7006,-48.86268,39.47412,728.6926,800.33535,0.00194939,0.02416427,-0.0182769,0.00050238,0.00029407,0.00020831,0.24271482,0.00012194,0.5736882,193.93,234.24
3169.19157,1.6965,-48.84548,36.83874,984.55944,522.88912,0.0079728,0.0225919,-0.01955382,0.00065379,0.00020588,0.00044792,0.21573766,0.00014105,0.58608099,198.41,223.72,2827.75148,1.6578,-43.86952,47.79877,843.55811,551.28953,0.00508834,0.0215232,-0.02005952,0.00044362,0.00018351,0.00026011,0.24254598,0.0001076,0.56993443,162.55,228.05
3166.56042,1.6591,-50.84708,27.93044,837.58628,659.30602,0.00219607,0.01706467,-0.01669309,0.00034526,0.00011168,0.00023358,0.21883814,7.556e-05,0.45989982,235.05,184.13,2339.90333,1.7782,-79.47369,69.33174,568.66319,580.55258,-0.00116601,0.03591003,-0.03748276,0.00133379,0.00038535,0.00094844,0.2054422,0.00027402,0.99878094,70.79,251.02
2038.39537,1.9001,-39.65337,36.04012,606.10843,460.50263,0.00466325,0.02324377,-0.01979222,0.00041805,0.00020575,0.0002123,0.24993867,0.00010449,0.59194509,118.19,180.49,2822.86656,1.8131,-57.67808,76.01455,838.70399,531.28714,0.0074466,0.03156627,-0.03062934,0.00141163,0.00069755,0.00071408,0.24996571,0.00035286,0.84907484,152.36,231.28
3037.30843,1.6542,-51.37038,51.2979,714.67549,709.94662,0.00105311,0.01825611,-0.01626449,0.00046433,0.00017358,0.00029075,0.23408129,0.00010869,0.46976658,232.98,165.96,3315.37986,1.6169,-50.36754,74.64827,876.57854,732.50756,0.0044253,0.02320992,-0.01805392,0.00070978,0.00042693,0.00028285,0.2396986,0.00017013,0.56770411,219.83,230.76
2932.52883,1.7187,-46.01963,35.55437,867.41134,496.46419,0.00532286,0.01989819,-0.02014284,0.00055516,0.0001619,0.00039326,0.20658227,0.00011469,0.5438806,184.81,197.11,2988.37272,1.7075,-49.46169,38.86912,680.18933,770.35297,0.00044296,0.02596386,-0.02209092,0.00058249,0.00036945,0.00021305,0.23197708,0.00013512,0.65054307,164.94,241.25
2331.02178,1.7655,-62.78686,44.16023,535.4712,612.90358,-0.00239495,0.01947598,-0.02150277,0.00064804,0.00022406,0.00042398,0.2262089,0.00014659,0.55940361,167.62,153.96,3343.35426,1.657,-47.15779,40.39392,1035.83773,596.47097,0.00391182,0.0181836,-0.02087269,0.00064275,0.00019956,0.00044319,0.21408377,0.0001376,0.52153985,259.98,197.12
3441.32023,1.5807,-51.19243,89.86223,825.02498,862.35629,0.00105614,0.02394982,-0.02084647,0.00101779,0.00070956,0.00030823,0.21112975,0.00021489,0.60855039,235.17,237.34,2682.80949,1.8409,-61.86983,95.41525,692.80123,586.20863,0.00546405,0.03591702,-0.0305263,0.00145148,0.00095009,0.00050139,0.22610924,0.00032819,0.91011991,121.6,236.56
3366.23476,1.6524,-76.62221,60.19761,865.12014,857.87052,0.00054829,0.03054945,-0.0297064,0.00121549,0.00039153,0.00082396,0.21835805,0.00026541,0.81987071,163.32,319.16,2827.57696,1.9351,-55.66567,58.91815,761.93083,622.10846,0.00869039,0.03537297,-0.02398924,0.00084778,0.00041337,0.0004344,0.24984615,0.00021181,0.82331092,117.32,270.25
2120.45106,1.8771,-82.2164,65.37352,591.29394,515.46103,-0.00144443,0.02781389,-0.03500714,0.00150628,0.00045829,0.00104799,0.21168229,0.00031885,0.84801765,113.93,195.99,3292.58703,1.6145,-46.56894,26.0619,711.49343,886.13329,-0.00259863,0.01651398,-0.01794451,0.00032782,0.0001294,0.00019842,0.23891564,7.832e-05,0.47095911,231.15,216.23
2399.77598,1.8268,-65.29924,62.07096,659.91804,595.34632,0.0025085,0.03302146,-0.03131391,0.0014373,0.00062685,0.00081045,0.24592051,0.00035346,0.87652235,130.37,221.14,3120.13839,1.8938,-40.68959,102.41843,937.43666,605.17856,0.00939177,0.02894314,-0.02089379,0.00105382,0.00078982,0.00026401,0.18776091,0.00019787,0.70165432,180.64,251.33
1751.42502,1.831,-49.72683,87.83174,386.60016,539.38589,0.00203462,0.03584019,-0.02219523,0.00141621,0.00112316,0.00029305,0.16410832,0.00023241,0.75898041,101.84,157.46,2712.03532,1.7614,-48.20016,89.24858,588.86757,801.70783,0.00373146,0.03705236,-0.02074328,0.0011223,0.0008786,0.0002437,0.16999141,0.00019078,0.75238649,156.67,232.73
2154.98915,1.8837,-50.78751,67.68111,594.26041,468.07291,0.00307014,0.02785573,-0.02839738,0.00088786,0.0004566,0.00043126,0.2497964,0.00022178,0.76448712,103.43,194.06,2857.57226,1.7622,-48.07842,69.67918,748.44733,589.12018,0.00422091,0.02694247,-0.02464567,0.00082365,0.00040807,0.00041558,0.24997924,0.0002059,0.70561472,149.62,224.93
2808.96542,1.9877,-63.42619,69.39811,575.5754,856.86592,-0.00017334,0.03069887,-0.02091088,0.00117978,0.00063761,0.00054217,0.24836394,0.00029301,0.676035,208.12,193.0,1634.51801,1.9275,-55.89509,57.07026,598.55202,243.01287,0.00579534,0.01891349,-0.02651528,0.00119716,0.00024964,0.00094752,0.16504458,0.00019758,0.57439429,127.52,108.14
2275.07587,1.7547,-52.97447,60.67373,625.52707,490.24853,0.00151372,0.02051096,-0.0227256,0.00066103,0.00027663,0.0003844,0.24335474,0.00016087,0.58461015,144.78,167.67,2386.29825,1.6871,-45.59892,74.8036,608.54903,606.54157,0.00436432,0.0257709,-0.01711312,0.00078912,0.0005643,0.00022482,0.20373209,0.00016077,0.58366136,166.64,173.62
2527.43316,1.797,-52.37284,48.1949,788.87886,474.74755,0.00744839,0.02743473,-0.02576253,0.00091335,0.00030315,0.00061019,0.22174782,0.00020253,0.72944146,141.28,212.57,2970.45027,1.7177,-46.38127,66.59461,715.7569,762.61294,0.00077913,0.02913037,-0.02583016,0.00071506,0.00040667,0.00030839,0.245277,0.00017539,0.7463529,135.12,278.87
2517.29407,1.6973,-47.61831,70.85906,699.72115,606.59239,0.00446783,0.02985315,-0.02481484,0.00090087,0.00047001,0.00043086,0.2495277,0.00022479,0.74868288,129.75,236.06,2490.62877,1.7154,-44.23915,34.93817,791.37924,439.92438,0.00484373,0.02106263,-0.02433243,0.00053308,0.00016786,0.00036522,0.21573392,0.000115,0.604933,137.88,206.92
3253.31412,1.6511,-57.73916,31.57951,806.7492,648.41169,-0.00090291,0.01826524,-0.02475178,0.00054812,0.00010152,0.0004466,0.15091375,8.272e-05,0.57567337,165.74,241.74,4033.01553,1.513,-51.0068,32.67025,1175.90157,731.14822,0.00468663,0.02083848,-0.02129031,0.0005805,0.00015497,0.00042553,0.19569362,0.0001136,0.57175773,244.08,289.94
1986.77026,2.8143,-4.66767,23.28965,526.12199,489.21919,0.00244217,0.00678965,-0.00223325,5.236e-05,4.922e-05,3.13e-06,0.05629115,2.95e-06,0.12501584,268.36,15.96,3525.16011,1.6704,-56.26687,77.55497,960.80851,755.36265,0.00497609,0.02931284,-0.02597984,0.00103916,0.00044948,0.00058967,0.24545004,0.00025506,0.75772393,177.37,303.21
2505.46236,1.9778,-58.04318,67.76463,594.80801,704.29056,-0.00265205,0.03111613,-0.03117094,0.00104878,0.00050003,0.00054875,0.2494603,0.00026163,0.84752144,111.39,252.4,5966.14837,1.7499,-54.30333,43.07312,1425.36317,1232.51278,0.00234279,0.01917081,-0.0171183,0.00066363,0.0002467,0.00041693,0.23355095,0.00015499,0.49576463,427.23,317.05
1924.30255,1.9111,-47.41066,57.41187,442.50748,519.7554,0.00072331,0.02651095,-0.02123167,0.000627,0.00032967,0.00029733,0.24933511,0.00015633,0.64380515,118.24,151.23,2948.24425,1.7157,-60.83092,73.20647,778.65016,672.54211,0.00435999,0.03138134,-0.02692456,0.00109199,0.00050742,0.00058457,0.24875219,0.00027163,0.79772575,138.01,268.36
2274.05353,1.7161,-38.31683,42.98105,611.90329,567.0095,0.00250144,0.02228626,-0.01884988,0.00038123,0.00019219,0.00018904,0.24998291,9.53e-05,0.56146618,138.31,191.82,2968.77449,1.7996,-62.77821,57.10421,983.9376,450.97774,0.01099185,0.02918193,-0.02869502,0.00126712,0.00034126,0.00092585,0.19678785,0.00024935,0.78991649,151.32,250.5
2145.13411,1.8453,-60.53477,36.12794,541.55023,472.10231,0.0014097,0.02716038,-0.02812899,0.00076199,0.00021981,0.00054218,0.2052553,0.0001564,0.75134727,88.78,195.07,2863.20396,1.5787,-45.13581,32.31322,729.45785,620.18748,0.00261129,0.01908124,-0.0167605,0.00030332,0.00014923,0.00015409,0.24993592,7.581e-05,0.49020806,186.29,191.65
3068.82823,1.7067,-63.93607,55.43375,849.15824,691.02562,0.00282967,0.03001347,-0.03057481,0.00103175,0.00038459,0.00064715,0.23380987,0.00024123,0.82356137,147.45,283.85,2937.15138,1.8706,-61.94859,78.0124,830.60798,571.5735,0.00773616,0.03539302,-0.03245466,0.00104633,0.00053397,0.00051237,0.24989348,0.00026147,0.93050005,104.54,288.11
3408.42696,1.6815,-49.02345,68.33788,860.0328,741.9596,0.002241,0.02114759,-0.01967433,0.00062726,0.00028722,0.00034004,0.24822718,0.0001557,0.55688789,220.36,228.24,3337.15645,1.5831,-52.88236,38.28883,950.95778,605.40683,0.00880075,0.02825955,-0.02176464,0.00069576,0.0002305,0.00046525,0.22153985,0.00015414,0.70023351,168.24,267.58
2135.92966,1.8059,-83.81762,87.4174,694.26011,416.22663,0.00931349,0.03323811,-0.03059243,0.00200406,0.00071457,0.00128949,0.22942549,0.00045978,0.87747108,127.97,183.0,3630.50462,1.6831,-61.57663,65.52901,1034.54026,725.79591,0.00467887,0.0206346,-0.01806423,0.00067795,0.00030498,0.00037297,0.24748607,0.00016778,0.53265794,260.14,232.81
